from_hospital,to_center,driving_distance
46,AIBTP,478.082
46,AWGTP,0
46,BANTP,1106.212
46,BBRTP,1125.768
46,BGETP,1162.294
46,BLATP,1102.554
46,BLGTP,1027.82
46,BLMTP,1081.638
46,CZATP,374.616
46,CZMTP,373.034
46,CZPTP,374.616
46,GAKTP,970.423
46,GBCTP,685.998
46,GBOTP,875.851
46,GESTP,954.289
46,GFMTP,718.997
46,GGOTP,801.016
46,GHBTP,707.08
46,GHGTP,971.289
46,GHOTP,830.068
46,GHSTP,821.827
46,GJETP,670.682
46,GKITP,1063.73
46,GKLTP,899.677
46,GLPTP,579.978
46,GMBTP,691.409
46,GMHTP,400.765
46,GMLTP,413.144
46,GMNTP,997.742
46,GMZTP,748.966
46,GNBTP,513.045
46,GRBTP,396.503
46,GROTP,951.092
46,GTUTP,638.888
46,GWZTP,599.117
46,HBSTP,246.781
46,NGRTP,1152.835
46,NLBTP,1163.488
46,NRDTP,1164.924
46,SLOTP,379.147
687,AGATP,588.744
687,AIBTP,292.643
687,AWGTP,586.656
687,BANTP,602.418
687,BBRTP,621.974
687,BGETP,658.501
687,BLATP,598.76
687,BLGTP,508.866
687,BLMTP,577.845
687,CZATP,750.526
687,CZMTP,748.944
687,CZPTP,750.526
687,GAKTP,466.63
687,GBCTP,605.777
687,GBOTP,390.75
687,GESTP,469.188
687,GFMTP,246.774
687,GGOTP,426.236
687,GHBTP,166.318
687,GHGTP,687.04
687,GHOTP,539.992
687,GHSTP,231.55
687,GJETP,396.171
687,GKITP,779.481
687,GKLTP,414.577
687,GLPTP,452.41
687,GMBTP,539.97
687,GMHTP,187.67
687,GMLTP,186.872
687,GMNTP,526.647
687,GMZTP,251.522
687,GNBTP,214.014
687,GRBTP,262.644
687,GROTP,799.313
687,GTUTP,70.242
687,GWZTP,183.681
687,HBSTP,839.283
687,NGRTP,712.057
687,NLBTP,678.388
687,NRDTP,679.824
687,SLOTP,608.689
1212,AGATP,1143.559
1212,AIBTP,952.85
1212,AWGTP,1141.47
1212,BANTP,88.282
1212,BBRTP,131.734
1212,BGETP,139.61
1212,BLATP,125.242
1212,BLGTP,212.69
1212,BLMTP,140.153
1212,CZATP,1325.971
1212,CZMTP,1324.389
1212,CZPTP,1325.971
1212,GAKTP,216.74
1212,GBCTP,687.555
1212,GBOTP,276.034
1212,GESTP,204.686
1212,GFMTP,432.251
1212,GGOTP,461.367
1212,GHBTP,497.457
1212,GHGTP,502.071
1212,GHOTP,415.146
1212,GHSTP,455.613
1212,GJETP,593.818
