from_hospital,to_center,total_time_byplane
359,GHSTP,2.111588358831502
359,GJETP,2.7234832290716477
359,GKITP,2.083746247820298
359,GKLTP,1.877056494112301
359,GLPTP,2.211792392585842
359,GMBTP,1.9761902319312672
359,GMHTP,2.4728207039536625
359,GMLTP,2.6344873706203296
359,GMNTP,1.894217125077557
359,GMZTP,2.168294465128721
359,GNBTP,2.1572957009364044
359,GRBTP,3.0711540372869925
359,GROTP,2.5155122783909807
359,GTUTP,2.292071636276944
359,GWZTP,3.1622957009364048
359,HBSTP,2.984853828867808
359,NGRTP,1.9384310229665433
359,NLBTP,2.088896126460245
359,NRDTP,1.753896126460245
359,SLOTP,2.807029170857957
271,AGATP,2.8257481083297993
271,AIBTP,2.3676373970458484
271,AWGTP,3.0337788549632307
271,BANTP,2.170324214325644
271,BBRTP,2.371854877118185
271,BGETP,2.71420172717201
271,BLATP,2.1018548771181855
271,BLGTP,2.420692016538711
271,BLMTP,2.290188210451518
271,CZATP,3.012420435276991
271,CZMTP,2.970753768610324
271,CZPTP,3.012420435276991
271,GAKTP,2.070864060136345
271,GBCTP,2.5096499712779576
271,GBOTP,2.3525317166613346
271,GESTP,2.1474424239142538
271,GFMTP,2.2719226194475324
271,GGOTP,2.677610400505694
271,GHBTP,2.242800935230172
271,GHGTP,1.822954602703825
271,GHOTP,1.9956530104159076
271,GHSTP,2.482602668021806
271,GJETP,2.8071228224381715
271,GKITP,1.8968606283273561
271,GKLTP,2.2525317166613346
271,GLPTP,2.217079880368279
271,GMBTP,1.9294278242160496
271,GMHTP,2.6780415818870624
271,GMLTP,2.8397082485537295
271,GMNTP,2.0199176298027846
271,GMZTP,2.460255952780865
271,GNBTP,2.342315587757884
271,GRBTP,3.2763749152203925
271,GROTP,2.348658321102786
271,GTUTP,2.5849422394225177
271,GWZTP,3.347315587757884
271,HBSTP,3.0577109171126633
271,NGRTP,1.9789564450065753
271,NLBTP,2.3748434578145607
271,NRDTP,2.039843457814561
271,SLOTP,2.9970368838942267
1069,AGATP,3.4627054318628367
1069,AIBTP,3.082063925696006
1069,AWGTP,3.649994664901409
1069,BANTP,3.229647158755146
1069,BBRTP,3.416766786225767
1069,BGETP,3.7738281987053703
1069,BLATP,3.146766786225767
1069,BLGTP,3.4320204631001374
1069,BLMTP,3.3351001195591
1069,CZATP,3.652960406518303
1069,CZMTP,3.611293739851636
1069,CZPTP,3.652960406518303
1069,GAKTP,3.071997531279985
1069,GBCTP,3.1480548461736366
1069,GBOTP,3.321308602226198
1069,GESTP,3.161190231931264
1069,GFMTP,3.1226070096630716
1069,GGOTP,3.539244304381113
1069,GHBTP,3.079291102128966
1069,GHGTP,2.8301012137768247
1069,GHOTP,2.938087288491208
1069,GHSTP,3.373031363290799
1069,GJETP,3.5084151716612917
1069,GKITP,2.90322359059412
1069,GKLTP,3.2213086022261983
1069,GLPTP,2.8322498198869086
1069,GMBTP,2.534999999999997
1069,GMHTP,3.3724253981893617
1069,GMLTP,3.534092064856029
1069,GMNTP,3.0788249257625306
1069,GMZTP,3.3109403429964046
1069,GNBTP,3.05232076640392
1069,GRBTP,3.9707587315226918
1069,GROTP,3.1773496218441126
1069,GTUTP,3.3750647388621218
1069,GWZTP,4.057320766403921
1069,HBSTP,3.6663461698760624
1069,NGRTP,3.1235638332002873
1069,NLBTP,3.4713089324825765
1069,NRDTP,3.136308932482577
1069,SLOTP,3.6542615152762234
261,AGATP,3.2637958062872308
261,AIBTP,2.7791018681528223
261,AWGTP,3.498100493524596
261,BANTP,2.790968218797298
261,BBRTP,2.9732961019501967
261,BGETP,3.3319904447245206
261,BLATP,2.7032961019501967
261,BLGTP,2.983248031237261
261,BLMTP,2.8916294352835297
261,CZATP,3.4454605931819113
261,CZMTP,3.4037939265152444
261,CZPTP,3.4454605931819113
